YEAR,COUNTRY,RUNUP_HT,DEATHS,CAUSE,isTop10
2004,INDONESIA,12.2,0, ,True
2004,INDONESIA,12.2,0, ,True
2004,INDONESIA,12.2,0, ,True
2004,INDONESIA,12.4,0, ,True
2004,INDONESIA,12.4,0, ,True
2004,INDONESIA,12.4,0, ,True
2004,INDONESIA,12.6,0, ,True
2004,INDONESIA,12.7,0, ,True
2004,INDONESIA,12.7,0, ,True
2004,INDONESIA,12.8,0, ,True
2004,INDONESIA,13.0,0, ,True
2004,INDONESIA,23.5,0, ,True
2004,INDONESIA,24.1,0, ,True
2004,INDONESIA,13.0,0, ,True
2004,INDONESIA,24.5,0, ,True
2004,INDONESIA,13.4,0, ,True
2004,INDONESIA,24.8,0, ,True
2004,INDONESIA,13.5,0, ,True
2004,INDONESIA,25.2,0, ,True
2004,INDONESIA,13.7,0, ,True
2004,INDONESIA,7.68,0, ,True
2004,INDONESIA,7.78,0, ,True
2004,INDONESIA,7.0,0, ,True
2004,INDONESIA,7.12,0, ,True
2004,INDONESIA,13.9,0, ,True
2004,INDONESIA,6.58,0, ,True
2004,INDONESIA,7.8,0, ,True
2004,INDONESIA,3.0,0, ,True
2004,INDONESIA,12.42,0, ,True
2004,INDONESIA,9.9,0, ,True
2004,INDONESIA,27.86,0, ,True
1883,SRI LANKA,1.0,0, ,True
2004,INDONESIA,20.13,0, ,True
1907,INDONESIA,0.0,0, ,True
2004,INDONESIA,13.8,0, ,True
1907,INDONESIA,0.0,0, ,True
2004,INDONESIA,14.0,0, ,True
2010,INDONESIA,0.17,0, ,True
2004,INDONESIA,14.4,0, ,True
2004,INDONESIA,6.43,0, ,True
2004,INDONESIA,14.8,0, ,True
2004,INDONESIA,14.8,0, ,True
2004,INDONESIA,17.04,0, ,True
2004,INDONESIA,5.87,0, ,True
2004,INDONESIA,14.8,0, ,True
2004,INDONESIA,14.9,0, ,True
2004,INDONESIA,15.0,0, ,True
2004,INDONESIA,6.78,0, ,True
2004,INDONESIA,15.4,0, ,True
1861,INDONESIA,0.0,0, ,True
1843,INDONESIA,0.0,0, ,True
2004,INDONESIA,12.19,0, ,True
2004,INDONESIA,15.5,0, ,True
2004,INDONESIA,16.1,0, ,True
2004,INDONESIA,16.2,0, ,True
2004,INDONESIA,4.82,0, ,True
